Vocabulary Word,Example Sentence (Swedish),Example Sentence (English)
och,Jag gillar kaffe och te.,I like coffee and tea.
att vara,Att vara snäll är viktigt.,To be kind is important.
i,Jag bor i en liten stad.,I live in a small town.
att ha,Jag har en katt.,I have a cat.
dess,"Hunden viftade med sin svans, men katten vände sig bort och ignorerade dess lekfullhet.","The dog wagged its tail, but the cat turned away and ignored its playfulness."
det,Det är en fin dag.,It is a nice day.
en,Jag har en katt.,I have a cat.
som,Boken som ligger på bordet är min.,The book that is on the table is mine.
på,Boken ligger på bordet.,The book is on the table.
å andra sidan,"Det är kallt ute, men å andra sidan är det vackert med snön.","It is cold outside, but on the other hand, it is beautiful with the snow."
av,Boken är skriven av en känd författare.,The book is written by a famous author.
för,Jag köper blommor för min mamma.,I buy flowers for my mom.
att,Jag tror att du kan klara det.,I think that you can do it.
att kunna,Jag vill kunna spela gitarr.,I want to be able to play the guitar.
att skola,Vi skall gå till parken imorgon.,We shall go to the park tomorrow.
jag,Jag heter Anna.,My name is Anna.
inte,Jag kan inte simma.,I can't swim.
med,Jag går till skolan med min vän.,I am going to school with my friend.
till,Han är son till en känd författare.,He is the son of a famous author.
liten,"När jag var liten, lekte jag alltid i parken.","When I was small, I always played in the park."
den,Den är min katt.,It is my cat.
ett,Det finns ett hus på gatan.,There is a house on the street.
analog,Analog teknik är fortfarande populär bland många musiker.,Analog technology is still popular among many musicians.
att unna,Jag unnar dig en paus efter allt arbete.,I wish you a break after all the work.
om,Gör inte om det!,Don't do that again!
vi,Vi går till parken varje söndag.,We go to the park every Sunday.
men,"Jag vill gå ut, men det regnar.","I want to go outside, but it's raining."
man,Man kan alltid lita på sina vänner.,One can always rely on their friends.
de,De spelar fotboll i parken.,They play football in the park.
att få,Jag vill få en glass.,I want to get an ice cream.
så,Det är så vackert här.,It is so beautiful here.
som,Boken som jag läser är intressant.,The book that I am reading is interesting.
sig,Hon ser sig i spegeln.,She sees herself in the mirror.
han,Han är min bästa vän.,He is my best friend.
de,De älskar att spela fotboll.,They love to play soccer.
att bli,Det kommer att bli en bra dag.,It is going to be a good day.
att komma,Det kommer att bli kallt i kväll.,It’s going to be cold tonight.
det,Det är en fin dag.,It is a nice day.
sin,Hon tog sin bok och började läsa.,She took her book and started to read.
eller,Vill du ha kaffe eller te?,Do you want coffee or tea?
från,Jag kommer från Sverige.,I come from Sweden.
mycket,Jag tycker mycket om att läsa böcker.,I like reading books a lot.
